date,open,high,low,close,volume,ETF_Turnover
2024-05-29,2489.519,2510.072,2486.582,2493.169,3178511100,1.12
2024-05-30,2488.319,2500.311,2468.256,2473.758,3434998300,1.41
2024-05-31,2480.213,2487.129,2462.183,2462.183,2859317000,1.07
2024-06-03,2461.35,2476.8,2454.985,2469.017,3293523400,1.25
2024-06-04,2465.61,2488.751,2462.665,2483.319,3190318300,1.4
2024-06-05,2477.307,2483.331,2467.455,2468.192,2945385700,1.24
2024-06-06,2474.232,2492.047,2462.13,2467.887,3689726300,1.47
2024-06-07,2473.174,2476.465,2444.93,2457.257,3643610500,1.47
2024-06-11,2444.548,2449.647,2415.112,2423.618,4140154900,2.03
2024-06-12,2420.899,2427.838,2412.99,2423.607,3794960400,1.42
2024-06-13,2425.923,2426.329,2406.992,2412.074,3085107100,1.46
2024-06-14,2405.79,2433.054,2399.985,2426.509,4127796600,1.83
2024-06-17,2412.092,2418.935,2408.873,2416.341,3749595700,2.02
2024-06-18,2412.547,2424.931,2408.289,2415.428,3533834700,1.27
2024-06-19,2410.472,2418.738,2402.958,2413.972,3277529100,1.21
2024-06-20,2413.393,2422.7,2405.397,2408.338,3201302400,1.55
2024-06-21,2406.217,2411.528,2386.48,2398.957,3320203900,3.34
2024-06-24,2383.866,2418.916,2381.28,2404.085,3467133100,2.61
2024-06-25,2403.729,2410.142,2384.205,2394.215,3491913500,2.11
2024-06-26,2388.499,2404.457,2383.147,2398.256,2985950200,1.76
2024-06-27,2391.687,2395.811,2376.662,2388.561,3699057000,1.9
2024-06-28,2382.117,2406.364,2381.391,2394.875,3989864400,1.52
2024-07-01,2395.2,2407.054,2387.617,2405.467,3628124700,1.35
2024-07-02,2400.167,2421.751,2399.518,2416.679,3686694900,1.9
2024-07-03,2417.176,2421.083,2405.836,2414.866,3299160000,0.77
2024-07-04,2417.276,2428.939,2407.126,2407.903,3051157900,1.29
2024-07-05,2405.611,2411.928,2367.015,2386.004,3936343900,2.44
2024-07-08,2375.684,2387.888,2368.166,2371.689,3561756200,1.42
2024-07-09,2365.931,2396.176,2352.767,2389.384,3750447700,2.06
2024-07-10,2378.804,2392.877,2378.538,2381.831,3484625800,1.04
2024-07-11,2387.665,2400.229,2378.153,2396.407,3829559200,1.32
2024-07-12,2397.729,2414.762,2396.529,2412.618,3815709800,2.25
2024-07-15,2405.918,2424.412,2405.523,2420.521,3451860700,2.34
2024-07-16,2412.255,2426.586,2406.246,2424.755,3568839500,2.47
2024-07-17,2422.883,2439.317,2419.98,2432.833,3775036900,2.32
2024-07-18,2426.34,2446.768,2421.487,2444.509,3481404600,2.69
2024-07-19,2429.805,2462.742,2417.464,2456.79,4131548000,6.12
2024-07-22,2454.244,2454.5,2416.2,2432.55,4182968300,2.19
2024-07-23,2429.086,2431.268,2396.673,2396.673,4134068100,1.43
2024-07-24,2393.232,2407.11,2382.995,2390.954,3929666800,2.01
2024-07-25,2384.635,2387.892,2358.543,2369.715,4084689400,2.71
2024-07-26,2364.911,2368.271,2341.449,2355.316,4049401600,2.86
2024-07-29,2352.506,2359.984,2343.402,2348.478,3367131200,1.15
2024-07-30,2341.909,2341.909,2321.499,2335.312,3243289100,3.22
2024-07-31,2332.652,2378.881,2331.565,2375.394,5006664200,2.07
2024-08-01,2373.471,2375.791,2360.048,2360.422,3913415200,1.23
2024-08-02,2344.418,2360.414,2337.638,2343.715,3182747400,1.9
2024-08-05,2334.592,2362.31,2327.745,2328.922,3945745800,4.7
2024-08-06,2342.842,2346.299,2296.712,2313.336,3487371300,2.71
2024-08-07,2311.911,2330.152,2307.078,2314.426,2714599100,1.61
2024-08-08,2310.962,2334.462,2305.893,2320.425,2252893600,1.11
2024-08-09,2332.671,2338.237,2317.992,2317.992,2598880500,1.45
2024-08-12,2314.261,2323.421,2312.579,2316.911,2219498400,0.77
2024-08-13,2318.973,2321.542,2304.597,2317.653,2510921800,0.99
2024-08-14,2317.888,2317.888,2305.47,2306.115,2204993000,1.13
2024-08-15,2300.479,2343.207,2295.753,2335.938,2931562000,2.43
2024-08-16,2335.042,2348.153,2331.08,2345.048,3048157800,2.49
2024-08-19,2345.645,2367.405,2345.115,2357.031,3088515000,0.93
2024-08-20,2361.181,2361.299,2337.507,2346.638,2989810800,2.21
2024-08-21,2341.812,2345.974,2324.708,2339.072,2655089900,1.77
2024-08-22,2340.154,2344.993,2332.364,2341.151,3111291200,1.94
2024-08-23,2338.664,2361.063,2338.322,2355.379,2790004700,1.07
2024-08-26,2356.793,2361.883,2341.232,2352.273,2690047600,1.01
2024-08-27,2348.544,2355.574,2345.302,2350.414,3095252400,1.56
2024-08-28,2349.52,2352.695,2327.924,2336.148,3009226200,2.18
2024-08-29,2329.662,2335.675,2315.487,2317.664,4424629500,0.99
2024-08-30,2313.61,2354.627,2311.228,2335.215,6378604600,2.22
2024-09-02,2321.153,2326.08,2299.167,2299.933,4549928700,1.51
2024-09-03,2299.34,2301.694,2286.021,2291.178,4415887700,1.92
2024-09-04,2279.477,2289.39,2268.21,2271.807,3548246900,1.46
2024-09-05,2272.982,2281.528,2267.331,2275.118,3035256100,1.41
2024-09-06,2276.54,2288.927,2263.321,2263.563,2588600400,1.75
2024-09-09,2252.304,2256.002,2226.627,2232.959,3425068800,2.05
2024-09-10,2232.83,2240.588,2223.903,2235.687,3018400500,1.68
2024-09-11,2228.825,2228.825,2213.824,2220.798,3461552900,1.89
2024-09-12,2220.901,2227.732,2208.248,2209.56,2809530100,1.43
2024-09-13,2211.154,2222.563,2204.865,2205.812,2709850000,1.43
2024-09-18,2206.854,2225.912,2203.982,2218.656,2605462000,2.01
2024-09-19,2224.263,2239.984,2199.449,2229.805,3496837900,2.12
2024-09-20,2227.352,2237.98,2212.522,2233.257,3690208700,3.87
2024-09-23,2233.858,2254.161,2232.282,2243.025,2720725700,1.25
2024-09-24,2270.356,2352.318,2257.288,2352.145,6015910500,4.07
2024-09-25,2391.285,2426.694,2380.589,2386.323,6840310200,3.29
2024-09-26,2389.268,2498.323,2383.51,2498.18,6774296300,4.86
2024-09-27,2553.602,2571.085,2512.818,2571.085,6480077600,3.1
2024-09-30,2657.548,2778.288,2621.702,2755.404,15332445800,7.3
2024-10-08,3016.874,3016.874,2780.03,2853.138,16597323500,7.68
2024-10-09,2813.956,2825.739,2674.246,2680.715,12465337500,4.56
2024-10-10,2697.292,2801.12,2675.442,2739.051,11589175400,4.6
2024-10-11,2718.249,2737.082,2653.617,2680.388,7537801900,4.08
2024-10-14,2699.707,2737.273,2672.808,2723.183,8065500100,3.86
2024-10-15,2711.674,2726.986,2655.116,2655.116,5831414400,3.19
2024-10-16,2629.242,2677.22,2628.954,2650.176,5625971300,2.43
2024-10-17,2666.367,2680.06,2610.467,2610.467,4979685400,3.16
2024-10-18,2606.377,2722.646,2583.489,2681.912,7019820700,4.22
2024-10-21,2694.966,2701.358,2659.665,2681.057,7204222600,2.8
2024-10-22,2672.853,2704.346,2672.449,2692.661,5220816700,2.59
2024-10-23,2691.126,2728.258,2682.942,2708.046,5607679700,2.97
2024-10-24,2695.379,2699.0,2669.71,2680.704,4225333500,2.19
2024-10-25,2679.349,2705.331,2671.038,2683.325,4686145300,1.93
2024-10-28,2681.508,2686.289,2656.325,2686.289,5347497200,1.68
2024-10-29,2689.917,2712.283,2665.425,2667.939,5008428600,2.26
2024-10-30,2658.259,2674.37,2624.001,2634.738,4445068800,2.07
2024-10-31,2637.206,2654.646,2613.251,2633.117,5452962300,2.18
2024-11-01,2629.043,2674.251,2629.043,2651.535,6084439200,2.82
2024-11-04,2657.314,2675.771,2636.576,2675.771,4301567100,1.45
2024-11-05,2666.861,2727.667,2659.166,2727.667,5564248400,3.16
2024-11-06,2730.455,2743.127,2691.728,2706.615,5994081800,2.71
2024-11-07,2684.813,2800.612,2683.317,2797.86,6701724400,4.03
2024-11-08,2825.912,2833.07,2758.214,2765.539,6786175700,3.79
2024-11-11,2736.838,2754.974,2711.763,2753.745,6133865800,2.46
2024-11-12,2744.946,2778.886,2701.61,2712.265,6011485400,2.74
2024-11-13,2697.186,2737.504,2696.689,2728.229,6264407700,2.36
2024-11-14,2719.455,2743.755,2700.204,2704.152,6046957100,2.61
2024-11-15,2696.961,2712.878,2671.452,2671.452,7004026200,2.85
2024-11-18,2683.493,2725.301,2668.059,2678.274,9104571000,2.45
